epoch,loss,val_loss
0,72.19754791259766,40.26172637939453
1,45.241085052490234,36.02534484863281
2,40.5554084777832,33.205108642578125
3,37.882232666015625,30.486337661743164
4,35.915653228759766,29.131961822509766
5,34.26642990112305,27.844877243041992
6,33.18248748779297,27.280101776123047
7,31.854366302490234,26.16134262084961
8,31.20529556274414,25.799705505371094
9,30.52591323852539,25.327486038208008
10,30.04461669921875,25.337594985961914
11,29.86429214477539,25.048288345336914
12,29.486648559570312,24.778644561767578
13,30.019515991210938,24.862991333007812
14,28.902795791625977,24.263423919677734
15,28.477005004882812,24.15512466430664
16,28.32415199279785,23.91676139831543
17,28.061948776245117,23.924217224121094
18,27.82278823852539,23.64792251586914
19,27.52704429626465,23.569372177124023
20,27.34580421447754,23.45908546447754
21,27.20435905456543,23.428607940673828
22,27.118375778198242,23.225601196289062
23,26.824037551879883,23.348804473876953
24,26.70067596435547,23.05725860595703
25,26.54352569580078,23.260740280151367
26,26.50518226623535,23.098913192749023
27,26.297775268554688,23.72138786315918
28,26.249710083007812,22.757049560546875
29,25.971660614013672,22.86001205444336
30,25.904796600341797,22.690523147583008
31,26.37643051147461,22.646512985229492
32,25.839984893798828,22.7673397064209
33,25.67464256286621,22.69525146484375
34,25.55039405822754,22.75828742980957
35,25.45408821105957,22.549463272094727
36,25.34619903564453,22.61976432800293
37,25.304977416992188,22.545536041259766
38,25.111194610595703,22.441131591796875
39,24.9429988861084,22.541053771972656
40,25.044872283935547,22.313091278076172
41,24.84967041015625,22.386735916137695
42,24.852684020996094,22.342117309570312
43,24.713712692260742,22.41684913635254
44,24.799396514892578,22.261621475219727
45,24.618410110473633,22.554765701293945
46,24.74538803100586,22.47315788269043
47,24.751344680786133,22.346364974975586
48,24.493799209594727,22.277109146118164
49,24.340457916259766,22.25872230529785
50,24.29869270324707,22.195419311523438
51,24.261486053466797,22.46823501586914
52,24.2978515625,22.278095245361328
53,24.110607147216797,22.238054275512695
54,24.135669708251953,22.225454330444336
55,24.120691299438477,22.27130126953125
56,23.96105194091797,22.145797729492188
57,23.901836395263672,22.21063995361328
58,23.91704559326172,22.049903869628906
59,23.754985809326172,22.228336334228516
60,23.780181884765625,22.204198837280273
61,23.775787353515625,22.078405380249023
62,23.681997299194336,22.179121017456055
63,23.62165641784668,22.26211929321289
64,23.569292068481445,22.03382682800293
65,23.6234130859375,22.06131935119629
66,23.528045654296875,22.075321197509766
67,23.450098037719727,22.150150299072266
68,23.39409637451172,22.105262756347656
69,23.337493896484375,22.13410758972168
70,23.3526554107666,22.153839111328125
71,23.343652725219727,22.084300994873047
72,23.278419494628906,22.101438522338867
73,23.1683292388916,22.2500057220459
74,23.138980865478516,22.07567024230957
75,23.09524917602539,22.078062057495117
76,23.0813045501709,22.3531494140625
77,23.233230590820312,22.09507942199707
78,23.04607391357422,22.036460876464844
79,22.95588493347168,22.009552001953125
80,22.94782829284668,22.079870223999023
81,23.05433464050293,22.099830627441406
82,22.91536521911621,22.132848739624023
83,22.807817459106445,22.265644073486328
84,22.968975067138672,22.11634635925293
85,22.966474533081055,22.031158447265625
86,22.736709594726562,22.081796646118164
87,22.680862426757812,22.042280197143555
88,22.655744552612305,22.089120864868164
89,22.65035057067871,22.08730125427246
90,22.650400161743164,22.15533447265625
91,22.663440704345703,22.140560150146484
92,22.600032806396484,22.02622413635254
93,22.527555465698242,22.12372398376465
94,22.506486892700195,22.081565856933594
95,22.464765548706055,22.1182861328125
96,22.431848526000977,22.112567901611328
97,22.413602828979492,22.126604080200195
98,22.506074905395508,22.188430786132812
99,22.394744873046875,22.119770050048828
100,22.386049270629883,22.14320945739746
101,22.317272186279297,22.17823600769043
102,22.292510986328125,22.144826889038086
103,22.260244369506836,22.124073028564453
104,22.228271484375,22.067337036132812
105,22.238475799560547,22.13446044921875
106,22.200063705444336,22.203990936279297
107,22.198917388916016,22.186336517333984
108,22.170936584472656,22.199514389038086
109,22.16786003112793,22.2353458404541
